user_id,resp_time,datetime_utc,number,location
u04,1364118676,2013-03-24 09:51:16+00:00,,
u04,1364119689,2013-03-24 10:08:09+00:00,,
u04,1364120191,2013-03-24 10:16:31+00:00,,
u04,1364121724,2013-03-24 10:42:04+00:00,,
u04,1364350101,2013-03-27 02:08:21+00:00,3,"43.70442851,-72.28676606"
u04,1364541131,2013-03-29 07:12:11+00:00,3,"43.70364698,-72.28605308"
u04,1364627383,2013-03-30 07:09:43+00:00,3,"43.70522558,-72.29116765"
u04,1364683020,2013-03-30 22:37:00+00:00,3,"43.70315377,-72.28626052"
u04,1364745256,2013-03-31 15:54:16+00:00,4,"43.70315377,-72.28626052"
u04,1364758406,2013-03-31 19:33:26+00:00,3,"43.70315377,-72.28626052"
u04,1364965554,2013-04-03 05:05:54+00:00,2,"43.70406845,-72.28722573"
u04,1364965554,2013-04-03 05:05:54+00:00,3,"43.70406845,-72.28722573"
u04,1365008060,2013-04-03 16:54:20+00:00,2,"43.70406845,-72.28722573"
u04,1365089895,2013-04-04 15:38:15+00:00,3,"43.70500049,-72.28555637"
u04,1365135301,2013-04-05 04:15:01+00:00,3,"43.70307665,-72.28927304"
u04,1365294145,2013-04-07 00:22:25+00:00,3,"43.70419632,-72.28592597"
u04,1365353378,2013-04-07 16:49:38+00:00,4,"43.70400146,-72.28561947"
u04,1365353382,2013-04-07 16:49:42+00:00,4,"43.70400146,-72.28561947"
u04,1365401353,2013-04-08 06:09:13+00:00,3,Unknown
u04,1365710575,2013-04-11 20:02:55+00:00,3,"43.70417131,-72.28591047"
u04,1365799445,2013-04-12 20:44:05+00:00,3,"43.7041984,-72.28652356"
u04,1365883921,2013-04-13 20:12:01+00:00,3,Unknown
u04,1366092010,2013-04-16 06:00:10+00:00,3,"43.70596983,-72.29501146"
u04,1366383771,2013-04-19 15:02:51+00:00,3,"43.70394475,-72.2863293"
u04,1367132384,2013-04-28 06:59:44+00:00,3,"43.70395298,-72.28591488"
u04,1367597378,2013-05-03 16:09:38+00:00,3,"43.7028707,-72.28951833"
u04,1367721213,2013-05-05 02:33:33+00:00,4,"42.48235825,-76.48771688"
u04,1367768369,2013-05-05 15:39:29+00:00,4,"43.70270522,-72.28685093"
u04,1367856091,2013-05-06 16:01:31+00:00,3,"43.70414453,-72.28604036"
u04,1368176332,2013-05-10 08:58:52+00:00,3,"43.70272466,-72.28964384"
u04,1368458822,2013-05-13 15:27:02+00:00,2,"43.70393102,-72.2857803"
u05,1364122430,2013-03-24 10:53:50+00:00,,
u05,1364122432,2013-03-24 10:53:52+00:00,,
u05,1364122434,2013-03-24 10:53:54+00:00,,
u05,1364122436,2013-03-24 10:53:56+00:00,,
u05,1364122437,2013-03-24 10:53:57+00:00,,
u05,1364409300,2013-03-27 18:35:00+00:00,4,"43.70751491,-72.28694759"
u05,1364415095,2013-03-27 20:11:35+00:00,3,"43.70751491,-72.28694759"
u05,1364501297,2013-03-28 20:08:17+00:00,3,"43.70751491,-72.28694759"
u05,1364605378,2013-03-30 01:02:58+00:00,5,"43.70751491,-72.28694759"
u05,1364626139,2013-03-30 06:48:59+00:00,6,"43.70751491,-72.28694759"
u05,1364713747,2013-03-31 07:09:07+00:00,5,"42.69942036,-71.43609676"
u07,1364119006,2013-03-24 09:56:46+00:00,,
u07,1364122083,2013-03-24 10:48:03+00:00,,
u07,1364122087,2013-03-24 10:48:07+00:00,,
u07,1364122089,2013-03-24 10:48:09+00:00,,
u07,1364355805,2013-03-27 03:43:25+00:00,3,"43.70675332,-72.2868274"
u07,1364404680,2013-03-27 17:18:00+00:00,3,"43.7040066,-72.28391899"
u07,1364459758,2013-03-28 08:35:58+00:00,3,"43.70327981,-72.28393317"
u07,1364493810,2013-03-28 18:03:30+00:00,3,"43.70381904,-72.28413912"
u07,1364540098,2013-03-29 06:54:58+00:00,3,"43.70321138,-72.29012708"
u07,1364576745,2013-03-29 17:05:45+00:00,4,"43.70392608,-72.28391071"
u07,1364637690,2013-03-30 10:01:30+00:00,3,"43.7038505,-72.28368719"
u07,1364713671,2013-03-31 07:07:51+00:00,3,"43.70358547,-72.28382208"
u07,1364731804,2013-03-31 12:10:04+00:00,3,"43.7034298,-72.2850223"
u07,1364797445,2013-04-01 06:24:05+00:00,4,"43.70393335,-72.2837312"
u07,1364839337,2013-04-01 18:02:17+00:00,3,"43.70371391,-72.28343209"
u07,1364905294,2013-04-02 12:21:34+00:00,4,"43.70848921,-72.28671205"
u07,1364965492,2013-04-03 05:04:52+00:00,4,"43.70278287,-72.28564898"
u07,1365011831,2013-04-03 17:57:11+00:00,3,"43.70391766,-72.28483911"
u07,1365054104,2013-04-04 05:41:44+00:00,3,"43.70695956,-72.28589822"
u07,1365710670,2013-04-11 20:04:30+00:00,3,"43.70829698,-72.28430122"
u07,1366182899,2013-04-17 07:14:59+00:00,3,"43.70380132,-72.28395937"
u07,1366245253,2013-04-18 00:34:13+00:00,3,"43.70396269,-72.28384852"
u07,1366267611,2013-04-18 06:46:51+00:00,3,"43.70643727,-72.28702697"
u07,1366367487,2013-04-19 10:31:27+00:00,3,"43.70464073,-72.29441487"
u07,1366440755,2013-04-20 06:52:35+00:00,4,"43.70392925,-72.28380701"
u07,1366529120,2013-04-21 07:25:20+00:00,3,"43.70334071,-72.28326211"
u07,1366611879,2013-04-22 06:24:39+00:00,3,"43.70671038,-72.27728207"
u07,1366752728,2013-04-23 21:32:08+00:00,4,"43.70425769,-72.28391582"
u08,1364118492,2013-03-24 09:48:12+00:00,,
u08,1364123064,2013-03-24 11:04:24+00:00,,
u08,1364123065,2013-03-24 11:04:25+00:00,,
u08,1364123067,2013-03-24 11:04:27+00:00,,
u08,1364123069,2013-03-24 11:04:29+00:00,,
u08,1364349840,2013-03-27 02:04:00+00:00,3,Unknown
u08,1364354153,2013-03-27 03:15:53+00:00,2,Unknown
u08,1364418535,2013-03-27 21:08:55+00:00,2,"43.70227295,-72.28989198"
u08,1364499570,2013-03-28 19:39:30+00:00,2,"43.70528743,-72.29155419"
u08,1364544782,2013-03-29 08:13:02+00:00,2,"43.70582719,-72.28937924"
u08,1364578969,2013-03-29 17:42:49+00:00,2,"43.70350954,-72.28608081"
u08,1364623933,2013-03-30 06:12:13+00:00,2,"43.70350954,-72.28608081"
u08,1364675909,2013-03-30 20:38:29+00:00,2,"43.70350954,-72.28608081"
u08,1364709653,2013-03-31 06:00:53+00:00,2,"43.70350954,-72.28608081"
u08,1364797581,2013-04-01 06:26:21+00:00,2,"43.70712705,-72.28700077"
u08,1364835021,2013-04-01 16:50:21+00:00,3,"43.70326445,-72.28627025"
u08,1364956300,2013-04-03 02:31:40+00:00,3,"43.70237031,-72.28787598"
u08,1365010648,2013-04-03 17:37:28+00:00,3,"43.70237031,-72.28787598"
u08,1365050812,2013-04-04 04:46:52+00:00,3,"43.7052264,-72.28719803"
u08,1365104692,2013-04-04 19:44:52+00:00,2,"43.70301411,-72.28619057"
u08,1365185777,2013-04-05 18:16:17+00:00,3,"43.70342734,-72.28638739"
u08,1365211943,2013-04-06 01:32:23+00:00,3,"43.70410077,-72.28719868"
u08,1365298057,2013-04-07 01:27:37+00:00,3,"43.04882397,-71.72452648"
u08,1365389722,2013-04-08 02:55:22+00:00,4,"43.70278047,-72.28749202"
u08,1365590053,2013-04-10 10:34:13+00:00,3,"43.70731779,-72.2868045"
u08,1365626456,2013-04-10 20:40:56+00:00,3,"43.70370174,-72.28680811"
u08,1365747918,2013-04-12 06:25:18+00:00,3,"43.70314121,-72.28659035"
u08,1365818223,2013-04-13 01:57:03+00:00,3,"43.70385469,-72.28643647"
u08,1365917937,2013-04-14 05:38:57+00:00,3,"43.70360138,-72.28652466"
u08,1365998852,2013-04-15 04:07:32+00:00,3,"43.70343873,-72.28651243"
u08,1366085548,2013-04-16 04:12:28+00:00,3,"43.70396504,-72.28927469"
u08,1366265075,2013-04-18 06:04:35+00:00,3,"43.70430223,-72.29046297"
u08,1366317248,2013-04-18 20:34:08+00:00,3,"43.70430223,-72.29046297"
u08,1366489262,2013-04-20 20:21:02+00:00,4,"43.70518194,-72.28800233"
u08,1366575694,2013-04-21 20:21:34+00:00,3,"43.70406215,-72.28755806"
u08,1366698644,2013-04-23 06:30:44+00:00,2,"43.7052687,-72.28811786"
u08,1366758113,2013-04-23 23:01:53+00:00,3,"43.70434734,-72.28679491"
u08,1366851436,2013-04-25 00:57:16+00:00,3,"43.70440204,-72.29052256"
u08,1366926955,2013-04-25 21:55:55+00:00,3,"43.70369581,-72.28686269"
u08,1367022678,2013-04-27 00:31:18+00:00,3,"43.70295661,-72.28995533"
u08,1367399813,2013-05-01 09:16:53+00:00,3,"43.70708811,-72.28767562"
u08,1367564416,2013-05-03 07:00:16+00:00,3,"43.70502255,-72.28804551"
u08,1367745582,2013-05-05 09:19:42+00:00,3,"43.7037094,-72.28660102"
u08,1367898813,2013-05-07 03:53:33+00:00,3,"43.7049437,-72.28880281"
u08,1368136745,2013-05-09 21:59:05+00:00,3,"43.70454326,-72.2895076"
u08,1368338756,2013-05-12 06:05:56+00:00,4,"43.70343934,-72.28739154"
u08,1369316368,2013-05-23 13:39:28+00:00,3,"43.70447785,-72.29155849"
u08,1369706919,2013-05-28 02:08:39+00:00,1,Unknown
u09,1364118789,2013-03-24 09:53:09+00:00,,
u09,1364119749,2013-03-24 10:09:09+00:00,,
u09,1364120299,2013-03-24 10:18:19+00:00,,
u09,1364121009,2013-03-24 10:30:09+00:00,,
u09,1364121855,2013-03-24 10:44:15+00:00,,
u09,1364454183,2013-03-28 07:03:03+00:00,3,"43.70735876,-72.28984988"
u10,1364118561,2013-03-24 09:49:21+00:00,,
u10,1364119452,2013-03-24 10:04:12+00:00,,
u10,1364120894,2013-03-24 10:28:14+00:00,,
u10,1364121775,2013-03-24 10:42:55+00:00,,
u10,1364428008,2013-03-27 23:46:48+00:00,2,"43.70559517,-72.28821559"
u10,1364609270,2013-03-30 02:07:50+00:00,3,"43.70644884,-72.28820168"
u10,1364624708,2013-03-30 06:25:08+00:00,3,"43.70644884,-72.28820168"
u10,1364713361,2013-03-31 07:02:41+00:00,3,"43.7026033,-72.28671544"
u10,1364797607,2013-04-01 06:26:47+00:00,4,"43.70241112,-72.28788985"
u10,1364962732,2013-04-03 04:18:52+00:00,3,Unknown
u10,1365135055,2013-04-05 04:10:55+00:00,3,"43.70173422,-72.28775943"
u10,1365319580,2013-04-07 07:26:20+00:00,3,"43.70336268,-72.28777469"
u10,1365387571,2013-04-08 02:19:31+00:00,3,"43.70238375,-72.28772441"
u10,1365408804,2013-04-08 08:13:24+00:00,3,"43.70238375,-72.28772441"
u10,1365631093,2013-04-10 21:58:13+00:00,3,"43.70278942,-72.28658418"
u10,1365798149,2013-04-12 20:22:29+00:00,3,"43.70278942,-72.28658418"
u10,1365883254,2013-04-13 20:00:54+00:00,3,"43.70278942,-72.28658418"
u10,1365969660,2013-04-14 20:01:00+00:00,2,"43.70278942,-72.28658418"
u10,1365969671,2013-04-14 20:01:11+00:00,2,"43.70278942,-72.28658418"
u10,1366093067,2013-04-16 06:17:47+00:00,4,"43.7050225,-72.28939767"
u10,1366270980,2013-04-18 07:43:00+00:00,4,"43.7050225,-72.28939767"
u10,1366389540,2013-04-19 16:39:00+00:00,3,"43.7050225,-72.28939767"
u10,1366530324,2013-04-21 07:45:24+00:00,3,"43.70539179,-72.28841197"
u10,1366595839,2013-04-22 01:57:19+00:00,4,"43.70376741,-72.28830285"
u10,1366617056,2013-04-22 07:50:56+00:00,4,"43.70324408,-72.28961597"
u10,1366703848,2013-04-23 07:57:28+00:00,3,"43.70324408,-72.28961597"
u10,1367167098,2013-04-28 16:38:18+00:00,4,"43.70151131,-72.28813703"
u10,1367598599,2013-05-03 16:29:59+00:00,3,"43.70431466,-72.28543542"
u10,1367771391,2013-05-05 16:29:51+00:00,3,"43.70318292,-72.28786899"
u10,1367858028,2013-05-06 16:33:48+00:00,4,"43.70290684,-72.28530452"
u10,1368205311,2013-05-10 17:01:51+00:00,3,"43.70721373,-72.28551043"
u10,1368376254,2013-05-12 16:30:54+00:00,4,"43.70274793,-72.28753523"
u10,1368434408,2013-05-13 08:40:08+00:00,3,"43.70200305,-72.28757046"
u10,1369966520,2013-05-31 02:15:20+00:00,2,Unknown
u12,1364118665,2013-03-24 09:51:05+00:00,,
u12,1364122186,2013-03-24 10:49:46+00:00,,
u12,1364122188,2013-03-24 10:49:48+00:00,,
u12,1364122190,2013-03-24 10:49:50+00:00,,
u12,1364122193,2013-03-24 10:49:53+00:00,,
u12,1364430371,2013-03-28 00:26:11+00:00,2,"43.63759451,-72.24841422"
u12,1364537776,2013-03-29 06:16:16+00:00,3,"43.63750239,-72.24838839"
u12,1364710147,2013-03-31 06:09:07+00:00,1,"43.63735709,-72.24818692"
u12,1364781880,2013-04-01 02:04:40+00:00,1,"43.64714305,-72.18863182"
u12,1364828856,2013-04-01 15:07:36+00:00,1,"43.63758924,-72.24854285"
u12,1365048034,2013-04-04 04:00:34+00:00,3,"43.70231248,-72.28784577"
u12,1365314938,2013-04-07 06:08:58+00:00,4,Unknown
u12,1365400850,2013-04-08 06:00:50+00:00,3,"37.08200819,-76.38337962"
u12,1365625386,2013-04-10 20:23:06+00:00,3,"43.63733001,-72.24831108"
u12,1365713549,2013-04-11 20:52:29+00:00,1,"43.63760479,-72.24817944"
u12,1365875575,2013-04-13 17:52:55+00:00,4,"43.63769981,-72.24843196"
u12,1365891834,2013-04-13 22:23:54+00:00,3,"43.63800068,-72.25275713"
u12,1365919350,2013-04-14 06:02:30+00:00,1,"43.63750659,-72.24820929"
u12,1365969856,2013-04-14 20:04:16+00:00,1,"43.63788781,-72.24855406"
u12,1366358971,2013-04-19 08:09:31+00:00,3,"43.63750473,-72.24859763"
u12,1366613160,2013-04-22 06:46:00+00:00,1,"43.63751615,-72.24827533"
u12,1367224085,2013-04-29 08:28:05+00:00,1,"43.6375209,-72.24825666"
u12,1368373248,2013-05-12 15:40:48+00:00,1,"43.63779157,-72.24841028"
u13,1364118751,2013-03-24 09:52:31+00:00,,
u13,1364122149,2013-03-24 10:49:09+00:00,,
u13,1364122150,2013-03-24 10:49:10+00:00,,
u13,1364122151,2013-03-24 10:49:11+00:00,,
u13,1364122153,2013-03-24 10:49:13+00:00,,
u13,1364122155,2013-03-24 10:49:15+00:00,,
u14,1364118750,2013-03-24 09:52:30+00:00,,
u14,1364121451,2013-03-24 10:37:31+00:00,,
u14,1364121453,2013-03-24 10:37:33+00:00,,
u14,1364121455,2013-03-24 10:37:35+00:00,,
u14,1364121787,2013-03-24 10:43:07+00:00,,
u14,1364169362,2013-03-24 23:56:02+00:00,,
u14,1364426236,2013-03-27 23:17:16+00:00,4,"43.70612113,-72.28723353"
u14,1364547697,2013-03-29 09:01:37+00:00,3,"43.70485903,-72.28640248"
u14,1364584961,2013-03-29 19:22:41+00:00,3,"43.70509271,-72.28680761"
u14,1364626115,2013-03-30 06:48:35+00:00,3,"43.70415142,-72.28835024"
u14,1364637137,2013-03-30 09:52:17+00:00,4,"43.70499355,-72.28677683"
u14,1364669924,2013-03-30 18:58:44+00:00,4,"43.70503113,-72.28694162"
u14,1364710073,2013-03-31 06:07:53+00:00,4,"43.70498786,-72.28672971"
u14,1364806726,2013-04-01 08:58:46+00:00,2,"43.70516844,-72.28680259"
u14,1364875298,2013-04-02 04:01:38+00:00,3,"43.7048674,-72.28716119"
u14,1364951540,2013-04-03 01:12:20+00:00,2,"43.70759133,-72.28860353"
u14,1364961787,2013-04-03 04:03:07+00:00,3,"43.70597053,-72.28839433"
u14,1365049858,2013-04-04 04:30:58+00:00,3,"43.70169949,-72.28842649"
u14,1365281236,2013-04-06 20:47:16+00:00,4,"43.70506289,-72.28675801"
u14,1365314840,2013-04-07 06:07:20+00:00,3,"43.70476614,-72.28673145"
u14,1365498525,2013-04-09 09:08:45+00:00,3,"43.70477259,-72.28698419"
u14,1365627832,2013-04-10 21:03:52+00:00,3,"43.70498939,-72.28699053"
u14,1365711043,2013-04-11 20:10:43+00:00,4,"43.70511041,-72.28702345"
u14,1365797000,2013-04-12 20:03:20+00:00,4,"43.70460577,-72.28671025"
u14,1366180199,2013-04-17 06:29:59+00:00,4,"43.70496368,-72.28727007"
u14,1366524292,2013-04-21 06:04:52+00:00,4,"43.70592312,-72.28765391"
u14,1366610404,2013-04-22 06:00:04+00:00,3,"43.70497161,-72.28670851"
u14,1367824345,2013-05-06 07:12:25+00:00,3,"43.70635373,-72.28713582"
u14,1368087880,2013-05-09 08:24:40+00:00,3,"43.70512664,-72.28785661"
u14,1368304375,2013-05-11 20:32:55+00:00,4,"43.70490336,-72.286727"
u14,1368381761,2013-05-12 18:02:41+00:00,3,"43.70592194,-72.28696999"
u14,1369793618,2013-05-29 02:13:38+00:00,1,Unknown
u15,1364118946,2013-03-24 09:55:46+00:00,,
u15,1364122069,2013-03-24 10:47:49+00:00,,
u15,1364122071,2013-03-24 10:47:51+00:00,,
u15,1364122073,2013-03-24 10:47:53+00:00,,
u15,1364122075,2013-03-24 10:47:55+00:00,,
u15,1364546202,2013-03-29 08:36:42+00:00,5,"43.70575397,-72.29579325"
u15,1364623241,2013-03-30 06:00:41+00:00,5,"43.70475624,-72.29065153"
u15,1365050950,2013-04-04 04:49:10+00:00,5,"43.70414117,-72.29034521"
u15,1365395363,2013-04-08 04:29:23+00:00,4,"41.49583437,-71.45812765"
u15,1365400753,2013-04-08 05:59:13+00:00,4,Unknown
u15,1365488044,2013-04-09 06:14:04+00:00,4,Unknown
u15,1365975516,2013-04-14 21:38:36+00:00,4,Unknown
u15,1366093993,2013-04-16 06:33:13+00:00,5,"43.7052318,-72.29189415"
u15,1366610798,2013-04-22 06:06:38+00:00,4,Unknown
u15,1366696848,2013-04-23 06:00:48+00:00,4,"43.70746352,-72.28565777"
u16,1364121764,2013-03-24 10:42:44+00:00,,
u16,1364121766,2013-03-24 10:42:46+00:00,,
u16,1364121767,2013-03-24 10:42:47+00:00,,
u16,1364121769,2013-03-24 10:42:49+00:00,,
u16,1364121770,2013-03-24 10:42:50+00:00,,
u16,1364414565,2013-03-27 20:02:45+00:00,4,"43.70284853,-72.29016458"
