user_id,course_id,due,experience,hours,location,resp_time,datetime_utc
u08,chin 62,2,1,2,"43.70314121,-72.28659035",1365733201,2013-04-12 02:20:01+00:00
u08,cs 65,2,1,1,"43.70385469,-72.28643647",1365818197,2013-04-13 01:56:37+00:00
u08,cs 89,1,1,6,"43.70385469,-72.28643647",1365818208,2013-04-13 01:56:48+00:00
u08,cs 89,2,1,1,"43.70396504,-72.28927469",1366085547,2013-04-16 04:12:27+00:00
u08,chin 62,1,1,1,"43.70341363,-72.2866024",1366163763,2013-04-17 01:56:03+00:00
u08,cs 65,2,1,1,"43.70430223,-72.29046297",1366265121,2013-04-18 06:05:21+00:00
u08,cs 89,2,1,5,"43.70430223,-72.29046297",1366265132,2013-04-18 06:05:32+00:00
u08,cs 65,2,1,1,"43.70566291,-72.2881436",1366337083,2013-04-19 02:04:43+00:00
u08,chin 62,2,1,4,"43.70566291,-72.2881436",1366337091,2013-04-19 02:04:51+00:00
u08,cs 65,1,3,12,"43.7052687,-72.28811786",1366698514,2013-04-23 06:28:34+00:00
u08,cs 89,1,1,12,"43.7052687,-72.28811786",1366698529,2013-04-23 06:28:49+00:00
u08,chin 062,2,3,1,"43.70277439,-72.28880163",1366960476,2013-04-26 07:14:36+00:00
u08,cs 65,2,1,4,"43.70295661,-72.28995533",1367022561,2013-04-27 00:29:21+00:00
u08,cs 89,2,4,1,"43.70295661,-72.28995533",1367022576,2013-04-27 00:29:36+00:00
u08,chin 62,1,3,4,"43.70708811,-72.28767562",1367399773,2013-05-01 09:16:13+00:00
u08,cs 89,2,1,1,"43.70708811,-72.28767562",1367445434,2013-05-01 21:57:14+00:00
u08,cs 89,2,5,1,"43.7037094,-72.28660102",1367745552,2013-05-05 09:19:12+00:00
u08,cs 89,2,1,1,"43.7049437,-72.28880281",1367898671,2013-05-07 03:51:11+00:00
u08,cs 89,1,5,12,"43.70447785,-72.29155849",1369316318,2013-05-23 13:38:38+00:00
u09,CS65,2,1,1,"43.70687224,-72.28858677",1364434343,2013-03-28 01:32:23+00:00
u09,CS65,2,3,2,"43.70741873,-72.28632201",1364517383,2013-03-29 00:36:23+00:00
u09,JAPN61,1,3,5,"43.70688362,-72.28814599",1364614365,2013-03-30 03:32:45+00:00
u10,cs65,2,3,2,"43.70582994,-72.28763412",1364411483,2013-03-27 19:11:23+00:00
u10,cs 65,2,1,5,"43.70647211,-72.28802604",1364609265,2013-03-30 02:07:45+00:00
u10,cs65,2,1,3,"43.70645395,-72.28818327",1364609267,2013-03-30 02:07:47+00:00
u10,cs50,2,3,2,"43.70644884,-72.28820168",1364609270,2013-03-30 02:07:50+00:00
u10,bio4,2,3,3,"43.70312458,-72.28787646",1364693896,2013-03-31 01:38:16+00:00
u10,cs65,2,3,6,"43.70243257,-72.28772434",1364785997,2013-04-01 03:13:17+00:00
u10,cs65,2,1,4,"43.70710471,-72.28730696",1364843535,2013-04-01 19:12:15+00:00
u10,cs50,2,3,4,"43.70710471,-72.28730696",1364867015,2013-04-02 01:43:35+00:00
u10,bio4,2,3,2,"43.70679334,-72.28767766",1364947307,2013-04-03 00:01:47+00:00
u10,cs65,2,4,2,"43.70613435,-72.28844824",1365030222,2013-04-03 23:03:42+00:00
