user_id,resp_time,weekday,hour,exercise,walk,have,schedule,latitude,longitude,has_location
u10,2013-04-17T05:18:30+00:00,Wednesday,5,1,1.0,2.0,1.0,,,0
u10,2013-04-18T02:44:46+00:00,Thursday,2,1,4.0,2.0,1.0,,,0
u10,2013-04-19T04:04:06+00:00,Friday,4,1,2.0,2.0,1.0,43.7050225,-72.28939767,1
u10,2013-04-22T01:55:32+00:00,Monday,1,4,2.0,1.0,,43.70412385,-72.28696992,1
u10,2013-04-24T07:48:05+00:00,Wednesday,7,1,3.0,2.0,1.0,43.70324408,-72.28961597,1
u10,2013-04-25T05:40:18+00:00,Thursday,5,3,2.0,1.0,,43.70297206,-72.28625376,1
u10,2013-04-29T02:16:27+00:00,Monday,2,1,2.0,2.0,1.0,43.70151131,-72.28813703,1
u10,2013-05-04T03:59:07+00:00,Saturday,3,3,2.0,1.0,,43.7035419,-72.28496666,1
u10,2013-05-07T00:27:10+00:00,Tuesday,0,3,1.0,1.0,,43.70651291,-72.28794506,1
u10,2013-05-15T03:57:44+00:00,Wednesday,3,1,1.0,2.0,1.0,43.70324666,-72.29028792,1
u12,2013-04-03T17:26:48+00:00,Wednesday,17,3,2.0,1.0,2.0,,,0
u12,2013-04-05T02:00:31+00:00,Friday,2,1,3.0,2.0,1.0,,,0
u12,2013-04-06T03:40:10+00:00,Saturday,3,1,3.0,2.0,1.0,,,0
u12,2013-04-07T06:09:17+00:00,Sunday,6,4,2.0,1.0,,,,0
u12,2013-04-11T18:55:55+00:00,Thursday,18,1,1.0,2.0,1.0,,,0
u12,2013-04-12T17:48:58+00:00,Friday,17,1,1.0,2.0,1.0,,,0
u12,2013-04-13T22:23:42+00:00,Saturday,22,1,1.0,2.0,1.0,,,0
u12,2013-04-14T20:04:27+00:00,Sunday,20,3,2.0,1.0,2.0,,,0
u12,2013-05-31T17:07:26+00:00,Friday,17,3,2.0,1.0,2.0,43.63764029,-72.2483575,1
u14,2013-04-01T20:04:25+00:00,Monday,20,1,1.0,2.0,1.0,,,0
u14,2013-04-02T04:01:32+00:00,Tuesday,4,1,3.0,2.0,1.0,,,0
u14,2013-04-04T02:02:22+00:00,Thursday,2,1,5.0,2.0,2.0,,,0
u14,2013-04-05T02:49:56+00:00,Friday,2,1,5.0,2.0,2.0,,,0
u14,2013-04-08T00:10:01+00:00,Monday,0,1,5.0,2.0,2.0,,,0
u14,2013-04-18T03:18:54+00:00,Thursday,3,1,5.0,2.0,2.0,,,0
u14,2013-04-19T04:00:00+00:00,Friday,4,1,5.0,2.0,2.0,43.7054501,-72.28744904,1
u14,2013-04-30T02:00:06+00:00,Tuesday,2,1,1.0,2.0,2.0,43.70677996,-72.28732886,1
u15,2013-04-08T04:29:24+00:00,Monday,4,4,2.0,1.0,2.0,,,0
u15,2013-04-08T04:29:26+00:00,Monday,4,4,1.0,1.0,2.0,,,0
u15,2013-04-10T05:00:17+00:00,Wednesday,5,5,2.0,1.0,2.0,,,0
u15,2013-04-17T03:03:05+00:00,Wednesday,3,5,2.0,1.0,2.0,,,0
u15,2013-04-18T20:15:43+00:00,Thursday,20,5,2.0,1.0,2.0,,,0
u16,2013-04-01T18:02:50+00:00,Monday,18,3,3.0,1.0,,,,0
u16,2013-04-03T03:19:52+00:00,Wednesday,3,1,2.0,2.0,1.0,,,0
u16,2013-04-03T22:01:17+00:00,Wednesday,22,3,3.0,1.0,,,,0
u16,2013-04-04T02:42:10+00:00,Thursday,2,3,3.0,1.0,,,,0
u16,2013-04-05T02:32:39+00:00,Friday,2,1,3.0,2.0,2.0,,,0
u16,2013-04-05T23:34:01+00:00,Friday,23,3,3.0,1.0,,,,0
u16,2013-04-07T01:51:22+00:00,Sunday,1,1,2.0,2.0,2.0,,,0
u16,2013-04-08T00:04:07+00:00,Monday,0,1,2.0,2.0,2.0,,,0
u16,2013-04-08T19:40:25+00:00,Monday,19,3,3.0,1.0,,,,0
u16,2013-04-10T02:31:23+00:00,Wednesday,2,5,4.0,2.0,2.0,,,0
u16,2013-04-10T17:50:14+00:00,Wednesday,17,1,3.0,2.0,1.0,,,0
u16,2013-04-11T23:15:04+00:00,Thursday,23,1,3.0,2.0,2.0,,,0
u16,2013-04-16T02:39:31+00:00,Tuesday,2,1,2.0,2.0,,,,0
u16,2013-04-17T02:08:40+00:00,Wednesday,2,5,5.0,1.0,,,,0
u16,2013-04-18T02:33:45+00:00,Thursday,2,3,4.0,1.0,,,,0
u16,2013-04-18T20:39:40+00:00,Thursday,20,1,3.0,2.0,2.0,,,1
u16,2013-04-20T16:47:16+00:00,Saturday,16,3,3.0,1.0,,43.70381863,-72.2910568,1
u16,2013-04-21T20:39:37+00:00,Sunday,20,1,2.0,2.0,1.0,43.70379379,-72.29137476,1
u16,2013-04-22T04:05:45+00:00,Monday,4,1,2.0,2.0,1.0,43.70388114,-72.29106228,1
u16,2013-04-24T06:26:03+00:00,Wednesday,6,5,5.0,1.0,1.0,43.70374487,-72.29078214,1
u16,2013-04-26T06:14:41+00:00,Friday,6,1,2.0,2.0,2.0,43.70381392,-72.29084126,1
u16,2013-04-27T00:10:44+00:00,Saturday,0,1,2.0,2.0,1.0,43.70383449,-72.29122954,1
u16,2013-04-28T00:42:44+00:00,Sunday,0,1,2.0,2.0,2.0,43.70376923,-72.29082966,1
u16,2013-04-29T02:01:18+00:00,Monday,2,1,2.0,2.0,1.0,43.70378913,-72.29087644,1
u16,2013-04-30T02:00:23+00:00,Tuesday,2,1,2.0,2.0,2.0,43.70688467,-72.28732802,1
u16,2013-05-07T00:50:27+00:00,Tuesday,0,1,2.0,2.0,1.0,43.70695327,-72.28825554,1
u16,2013-05-08T18:38:26+00:00,Wednesday,18,4,3.0,1.0,,43.70444528,-72.29050901,1
u16,2013-05-12T19:15:22+00:00,Sunday,19,1,3.0,2.0,2.0,,,0
u16,2013-05-13T19:05:51+00:00,Monday,19,1,3.0,2.0,2.0,43.70339979,-72.28817654,1
u16,2013-05-15T04:04:54+00:00,Wednesday,4,1,2.0,1.0,2.0,43.70391463,-72.28988644,1
u16,2013-05-16T04:33:23+00:00,Thursday,4,3,2.0,1.0,,43.70374249,-72.29050587,1
u16,2013-05-17T05:06:22+00:00,Friday,5,1,2.0,2.0,2.0,,,0
u16,2013-05-17T19:25:51+00:00,Friday,19,3,2.0,1.0,,,,0
u16,2013-05-20T22:01:58+00:00,Monday,22,1,2.0,2.0,2.0,,,0
u16,2013-05-25T20:17:31+00:00,Saturday,20,1,2.0,2.0,2.0,43.70392831,-72.29052029,1
u16,2013-05-26T21:22:36+00:00,Sunday,21,1,2.0,2.0,2.0,43.70395666,-72.29093617,1
u16,2013-05-27T21:21:17+00:00,Monday,21,1,2.0,2.0,2.0,43.70390249,-72.29064079,1
u16,2013-05-29T22:23:32+00:00,Wednesday,22,1,1.0,2.0,2.0,43.68753666,-72.29250241,1
u17,2013-04-03T17:41:02+00:00,Wednesday,17,1,3.0,2.0,1.0,,,0
u17,2013-04-09T05:54:24+00:00,Tuesday,5,1,3.0,2.0,1.0,,,0
u17,2013-04-09T05:54:25+00:00,Tuesday,5,1,3.0,2.0,1.0,,,0
u17,2013-04-09T05:54:30+00:00,Tuesday,5,1,3.0,2.0,1.0,,,0
u17,2013-04-09T05:54:32+00:00,Tuesday,5,1,3.0,2.0,1.0,,,0
u17,2013-04-09T05:54:34+00:00,Tuesday,5,1,3.0,2.0,1.0,,,0
u17,2013-04-13T19:32:33+00:00,Saturday,19,1,4.0,2.0,1.0,,,0
u17,2013-04-15T17:48:53+00:00,Monday,17,3,3.0,1.0,2.0,,,0
u17,2013-04-16T23:51:18+00:00,Tuesday,23,1,2.0,2.0,1.0,,,0
u17,2013-04-17T02:31:23+00:00,Wednesday,2,1,3.0,2.0,1.0,,,0
u17,2013-04-19T02:36:22+00:00,Friday,2,1,3.0,2.0,1.0,43.70237732,-72.28914013,1
u17,2013-04-20T19:46:16+00:00,Saturday,19,1,3.0,2.0,1.0,,,0
u17,2013-04-21T10:16:39+00:00,Sunday,10,2,3.0,1.0,2.0,,,0
u17,2013-04-21T22:10:08+00:00,Sunday,22,2,3.0,1.0,2.0,,,0
u17,2013-04-27T00:50:03+00:00,Saturday,0,1,3.0,2.0,1.0,43.70685225,-72.28683238,1
u17,2013-04-28T00:23:09+00:00,Sunday,0,1,2.0,2.0,1.0,43.70366438,-72.2901632,1
u17,2013-04-29T04:32:45+00:00,Monday,4,1,3.0,2.0,1.0,,,0
u17,2013-04-30T03:45:31+00:00,Tuesday,3,1,2.0,2.0,1.0,,,0
u17,2013-05-08T00:46:24+00:00,Wednesday,0,1,2.0,2.0,1.0,43.70177529,-72.28874021,1
u17,2013-05-26T22:06:15+00:00,Sunday,22,1,1.0,2.0,1.0,,,0
u17,2013-05-31T04:37:46+00:00,Friday,4,1,1.0,2.0,1.0,43.70583041,-72.28925846,1
u18,2013-04-03T02:57:21+00:00,Wednesday,2,3,3.0,1.0,,,,0
u18,2013-04-04T03:57:18+00:00,Thursday,3,4,3.0,1.0,2.0,,,0
u18,2013-04-05T18:13:24+00:00,Friday,18,4,2.0,1.0,2.0,,,0
u18,2013-04-08T04:11:23+00:00,Monday,4,1,1.0,2.0,,,,0
u18,2013-04-08T04:11:31+00:00,Monday,4,1,2.0,2.0,,,,0
u18,2013-04-09T04:08:34+00:00,Tuesday,4,3,3.0,1.0,2.0,,,0
u18,2013-04-09T23:54:38+00:00,Tuesday,23,3,2.0,1.0,2.0,,,0
u18,2013-04-12T02:43:57+00:00,Friday,2,3,3.0,1.0,2.0,,,0
u18,2013-04-18T17:13:22+00:00,Thursday,17,1,2.0,2.0,1.0,,,0
u18,2013-04-19T03:25:23+00:00,Friday,3,3,3.0,1.0,2.0,43.70264346,-72.28707,1
u19,2013-04-02T04:12:17+00:00,Tuesday,4,5,2.0,1.0,,,,0
u19,2013-04-03T02:01:09+00:00,Wednesday,2,1,3.0,2.0,1.0,,,0
u19,2013-04-04T08:13:57+00:00,Thursday,8,5,3.0,1.0,2.0,,,0
u19,2013-04-05T01:43:49+00:00,Friday,1,1,3.0,2.0,1.0,,,0
u19,2013-04-05T02:21:37+00:00,Friday,2,1,1.0,2.0,1.0,,,0
u19,2013-04-06T03:24:59+00:00,Saturday,3,5,3.0,1.0,,,,0
u19,2013-04-08T08:32:49+00:00,Monday,8,1,2.0,2.0,1.0,,,0
u19,2013-04-09T03:06:23+00:00,Tuesday,3,5,2.0,1.0,,,,0
u19,2013-04-10T00:46:04+00:00,Wednesday,0,2,3.0,1.0,,,,0
u19,2013-04-10T05:04:09+00:00,Wednesday,5,1,3.0,2.0,2.0,,,0
u19,2013-04-11T09:01:48+00:00,Thursday,9,5,3.0,1.0,,,,0
u19,2013-04-12T07:14:44+00:00,Friday,7,3,2.0,1.0,2.0,,,0
u19,2013-04-13T01:51:34+00:00,Saturday,1,4,3.0,1.0,,,,0
u19,2013-04-16T03:18:41+00:00,Tuesday,3,5,2.0,1.0,,,,0
u19,2013-04-17T02:25:06+00:00,Wednesday,2,1,3.0,2.0,1.0,,,0
u19,2013-04-18T03:05:59+00:00,Thursday,3,5,3.0,1.0,2.0,,,0
u19,2013-04-19T04:19:30+00:00,Friday,4,2,3.0,1.0,,43.70576649,-72.28783793,1
u19,2013-04-20T02:37:50+00:00,Saturday,2,5,2.0,1.0,,43.70661361,-72.2859456,1
u19,2013-04-21T08:13:10+00:00,Sunday,8,5,2.0,1.0,,43.7067391,-72.28556913,1
u19,2013-04-23T00:49:27+00:00,Tuesday,0,4,3.0,1.0,,43.70676468,-72.28542565,1
u19,2013-04-24T06:00:10+00:00,Wednesday,6,1,3.0,2.0,1.0,43.70453889,-72.28787543,1
u19,2013-04-27T03:24:35+00:00,Saturday,3,5,2.0,1.0,2.0,43.70708146,-72.2859818,1
u19,2013-04-28T23:34:57+00:00,Sunday,23,5,2.0,1.0,2.0,43.70670747,-72.28550624,1
u19,2013-04-30T03:04:28+00:00,Tuesday,3,5,2.0,1.0,2.0,43.70729551,-72.28748503,1
u19,2013-05-03T18:49:30+00:00,Friday,18,1,3.0,2.0,1.0,43.70690988,-72.28699822,1
u19,2013-05-04T02:47:37+00:00,Saturday,2,4,2.0,1.0,2.0,43.70705362,-72.28594706,1
u19,2013-05-05T07:53:39+00:00,Sunday,7,5,3.0,1.0,2.0,43.70691192,-72.28587513,1
u19,2013-05-06T05:09:15+00:00,Monday,5,5,3.0,1.0,2.0,43.70706308,-72.28596174,1
u19,2013-05-07T00:04:45+00:00,Tuesday,0,1,2.0,2.0,1.0,43.70727285,-72.28621797,1
u19,2013-05-08T00:05:50+00:00,Wednesday,0,1,3.0,2.0,1.0,43.70733979,-72.28607989,1
u19,2013-05-11T05:06:37+00:00,Saturday,5,3,2.0,1.0,2.0,43.70700456,-72.28598088,1
u19,2013-05-14T03:16:43+00:00,Tuesday,3,4,2.0,1.0,2.0,43.70670191,-72.28568105,1
u19,2013-05-15T05:06:38+00:00,Wednesday,5,1,2.0,2.0,1.0,43.70120165,-72.28667414,1
u19,2013-05-17T04:02:12+00:00,Friday,4,1,2.0,2.0,1.0,43.70709415,-72.28737229,1
u19,2013-05-18T04:11:19+00:00,Saturday,4,1,2.0,2.0,1.0,43.70161344,-72.28714129,1
u19,2013-05-18T22:28:43+00:00,Saturday,22,1,2.0,2.0,,43.70680509,-72.28557325,1
u19,2013-05-21T06:01:41+00:00,Tuesday,6,4,2.0,1.0,2.0,43.70708213,-72.2859049,1
u19,2013-05-22T08:09:56+00:00,Wednesday,8,1,2.0,2.0,1.0,43.7040776,-72.29042456,1
u19,2013-05-23T08:02:07+00:00,Thursday,8,2,2.0,1.0,,43.7066368,-72.2855942,1
u19,2013-05-24T08:14:53+00:00,Friday,8,1,2.0,2.0,1.0,,,0
u19,2013-05-25T20:04:57+00:00,Saturday,20,1,1.0,2.0,1.0,43.70706719,-72.28602375,1
u19,2013-05-26T09:52:23+00:00,Sunday,9,1,2.0,2.0,1.0,43.70709334,-72.28524117,1
u19,2013-05-29T18:34:11+00:00,Wednesday,18,1,2.0,2.0,1.0,43.70689977,-72.28714289,1
u19,2013-05-31T07:12:13+00:00,Friday,7,1,2.0,2.0,1.0,43.70696465,-72.28583899,1
u20,2013-04-02T04:00:22+00:00,Tuesday,4,1,3.0,2.0,2.0,,,0
u20,2013-04-03T02:21:10+00:00,Wednesday,2,3,3.0,2.0,2.0,,,0
u20,2013-04-08T01:45:07+00:00,Monday,1,4,2.0,2.0,2.0,,,0
u22,2013-04-02T04:43:56+00:00,Tuesday,4,1,1.0,2.0,2.0,,,0
u22,2013-04-03T02:29:00+00:00,Wednesday,2,3,1.0,1.0,2.0,,,0
u22,2013-04-04T02:01:29+00:00,Thursday,2,1,1.0,2.0,2.0,,,0
u22,2013-04-04T22:14:30+00:00,Thursday,22,3,1.0,1.0,2.0,,,0
u22,2013-04-05T02:00:25+00:00,Friday,2,3,1.0,1.0,2.0,,,0
