user_id,level,location,resp_time,datetime_utc
u01,4,"43.70330718,-72.28913616",1366331562,2013-04-19 00:32:42+00:00
u01,4,"43.70700605,-72.28906778",1366440292,2013-04-20 06:44:52+00:00
u01,1,"43.70669748,-72.28920919",1366999402,2013-04-26 18:03:22+00:00
u01,2,"43.70682686,-72.28889746",1367135266,2013-04-28 07:47:46+00:00
u01,2,"43.7066455,-72.28908136",1367177642,2013-04-28 19:34:02+00:00
u01,2,"43.70681322,-72.28921218",1367185489,2013-04-28 21:44:49+00:00
u01,3,"43.70665994,-72.28903937",1367214608,2013-04-29 05:50:08+00:00
u01,2,"43.70669145,-72.28940019",1367301495,2013-04-30 05:58:15+00:00
u01,1,"43.70264128,-72.28912823",1367903060,2013-05-07 05:04:20+00:00
u02,4,"43.70834437,-72.28451848",1364421902,2013-03-27 22:05:02+00:00
u02,1,"43.70645754,-72.28704395",1364510897,2013-03-28 22:48:17+00:00
u02,4,"43.70723487,-72.28559257",1364601238,2013-03-29 23:53:58+00:00
u02,4,"43.70631001,-72.28703982",1364682454,2013-03-30 22:27:34+00:00
u02,5,"44.22093774,-72.58471841",1364768711,2013-03-31 22:25:11+00:00
u02,1,"43.70705601,-72.29325701",1364968822,2013-04-03 06:00:22+00:00
u02,2,"43.70720395,-72.29323446",1365038425,2013-04-04 01:20:25+00:00
u02,1,"43.7070604,-72.29313622",1365142522,2013-04-05 06:15:22+00:00
u02,4,"43.70318385,-72.29022854",1365300736,2013-04-07 02:12:16+00:00
u02,1,"43.70620445,-72.29116858",1365386564,2013-04-08 02:02:44+00:00
u02,1,"43.70720645,-72.29347981",1365451253,2013-04-08 20:00:53+00:00
u02,1,"43.70711293,-72.29300838",1365494863,2013-04-09 08:07:43+00:00
u02,1,"43.70686475,-72.28624548",1365717644,2013-04-11 22:00:44+00:00
u02,1,"43.70725458,-72.29319166",1365891495,2013-04-13 22:18:15+00:00
u02,2,"43.70306572,-72.29094266",1365979252,2013-04-14 22:40:52+00:00
u02,1,"43.7091282,-72.28429872",1366056794,2013-04-15 20:13:14+00:00
u02,2,"43.70727735,-72.29334662",1366085883,2013-04-16 04:18:03+00:00
u02,2,"43.70705175,-72.29304265",1366103819,2013-04-16 09:16:59+00:00
u02,4,"43.70716557,-72.29339797",1366185893,2013-04-17 08:04:53+00:00
u02,4,"43.70699854,-72.29297309",1366257612,2013-04-18 04:00:12+00:00
u02,4,"43.70714265,-72.29314518",1366451303,2013-04-20 09:48:23+00:00
u02,1,"43.70723784,-72.29303131",1366704064,2013-04-23 08:01:04+00:00
u02,1,"43.70501532,-72.29064885",1366913718,2013-04-25 18:15:18+00:00
u02,2,"43.70512323,-72.29159062",1367193693,2013-04-29 00:01:33+00:00
u02,2,"43.70517745,-72.2882317",1367208294,2013-04-29 04:04:54+00:00
u02,2,Unknown,1367294841,2013-04-30 04:07:21+00:00
u02,1,Unknown,1367561918,2013-05-03 06:18:38+00:00
u02,1,"43.70719676,-72.29315695",1367825698,2013-05-06 07:34:58+00:00
u02,1,"43.70171273,-72.2882615",1367959337,2013-05-07 20:42:17+00:00
u02,1,"43.70718855,-72.29322803",1368002429,2013-05-08 08:40:29+00:00
u03,4,"43.70539962,-72.28318005",1364410075,2013-03-27 18:47:55+00:00
u03,5,"43.70525296,-72.28308162",1364410076,2013-03-27 18:47:56+00:00
u03,1,"43.70525296,-72.28308162",1364429275,2013-03-28 00:07:55+00:00
u03,5,"43.70530653,-72.2831011",1364773834,2013-03-31 23:50:34+00:00
u03,1,"43.70746063,-72.28315636",1364773836,2013-03-31 23:50:36+00:00
u03,5,"43.70531824,-72.28324444",1364773838,2013-03-31 23:50:38+00:00
u03,1,"43.70535266,-72.28309587",1364773841,2013-03-31 23:50:41+00:00
u03,4,"43.70535266,-72.28309587",1364773842,2013-03-31 23:50:42+00:00
u03,1,"43.70535266,-72.28309587",1364773843,2013-03-31 23:50:43+00:00
u03,5,"43.70535266,-72.28309587",1364773844,2013-03-31 23:50:44+00:00
u03,5,"43.70535266,-72.28309587",1364773845,2013-03-31 23:50:45+00:00
u03,5,"43.70534515,-72.28302437",1365057637,2013-04-04 06:40:37+00:00
u03,5,"43.70530239,-72.28298732",1365153860,2013-04-05 09:24:20+00:00
u03,2,"43.70526886,-72.28305451",1365264599,2013-04-06 16:09:59+00:00
u03,1,"43.70531188,-72.2828688",1365317939,2013-04-07 06:58:59+00:00
u03,5,"43.70534173,-72.28309467",1365391156,2013-04-08 03:19:16+00:00
u03,1,"43.70524283,-72.28301926",1365497167,2013-04-09 08:46:07+00:00
u03,4,"43.70596852,-72.28292096",1365976809,2013-04-14 22:00:09+00:00
u03,2,"43.70576695,-72.28327691",1366217270,2013-04-17 16:47:50+00:00
u03,2,"43.7054039,-72.28307553",1366564808,2013-04-21 17:20:08+00:00
u03,1,"43.70514059,-72.28261432",1366740447,2013-04-23 18:07:27+00:00
u03,1,"43.70526733,-72.28318315",1366913836,2013-04-25 18:17:16+00:00
