user_id,resp_time,datetime_utc,sleep_hours,sleep_quality,sleepiness,location
u05,1364681003,2013-03-30 22:03:23+00:00,9,1,4,"43.7048376,-72.29028059"
u05,1364751395,2013-03-31 17:36:35+00:00,8,1,1,"42.99574623,-71.51884702"
u07,1364119003,2013-03-24 09:56:43+00:00,,,,
u07,1364122083,2013-03-24 10:48:03+00:00,,,,
u07,1364122085,2013-03-24 10:48:05+00:00,,,,
u07,1364122086,2013-03-24 10:48:06+00:00,,,,
u07,1364122088,2013-03-24 10:48:08+00:00,,,,
u07,1364355785,2013-03-27 03:43:05+00:00,6,2,1,"43.70675332,-72.2868274"
u07,1364404668,2013-03-27 17:17:48+00:00,6,2,1,"43.70400696,-72.28392317"
u07,1364407233,2013-03-27 18:00:33+00:00,6,2,1,"43.7040066,-72.28391899"
u07,1364493797,2013-03-28 18:03:17+00:00,7,3,1,"43.70381904,-72.28413912"
u07,1364576704,2013-03-29 17:05:04+00:00,6,3,1,"43.70392608,-72.28391071"
u07,1364637683,2013-03-30 10:01:23+00:00,7,1,1,"43.7038505,-72.28368719"
u07,1364675277,2013-03-30 20:27:57+00:00,9,2,1,"43.70386706,-72.28368428"
u07,1364765855,2013-03-31 21:37:35+00:00,8,2,1,"43.70384974,-72.28380085"
u07,1364839221,2013-04-01 18:00:21+00:00,7,2,1,"43.70371391,-72.28343209"
u07,1364934365,2013-04-02 20:26:05+00:00,7,1,1,"43.70393516,-72.28368383"
u07,1365011824,2013-04-03 17:57:04+00:00,7,2,1,"43.70391766,-72.28483911"
u07,1365105714,2013-04-04 20:01:54+00:00,5,2,1,"43.70350051,-72.28955671"
u07,1365183006,2013-04-05 17:30:06+00:00,7,2,1,"43.70376232,-72.2840329"
u07,1365461427,2013-04-08 22:50:27+00:00,5,1,1,"42.68157539,-84.64788235"
u07,1365616571,2013-04-10 17:56:11+00:00,8,2,1,"43.70387324,-72.2836399"
u07,1365672766,2013-04-11 09:32:46+00:00,9,2,1,"43.70416133,-72.28362449"
u07,1365707361,2013-04-11 19:09:21+00:00,8,1,1,"43.70404614,-72.28405349"
u07,1365788981,2013-04-12 17:49:41+00:00,8,2,1,"43.70398518,-72.28358741"
u07,1365891829,2013-04-13 22:23:49+00:00,7,3,1,"43.70380812,-72.28401109"
u07,1366053818,2013-04-15 19:23:38+00:00,7,2,1,"43.70375535,-72.28381706"
u07,1366221671,2013-04-17 18:01:11+00:00,6,3,1,"43.70758488,-72.28290043"
u07,1366658429,2013-04-22 19:20:29+00:00,7,2,2,"43.70354163,-72.28381072"
u07,1366752722,2013-04-23 21:32:02+00:00,8,1,1,"43.70425769,-72.28391582"
u07,1367524627,2013-05-02 19:57:07+00:00,8,3,1,"43.70377565,-72.28402126"
u08,1364118489,2013-03-24 09:48:09+00:00,,,,
